id,beneficiary-name,date,direction,amount,description,currency,mcc,kind
1,Faculty of contemporary arts test 2,1/1/2021,d,187.2,Tuition test 2,USD,8299,pmt
2,Glovo,1/1/2021,d,44.3,Food delivery,USD,5811,pmt
3,Glovo,1/1/2021,d,17,Food delivery,USD,5811,pmt
4,Claire Stevens,1/1/2021,c,300.1,Monthly rent,USD,,dep
5,Josh,1/1/2021,d,35.1,Allowance,USD,,pmt
6,Hertz,1/1/2021,d,11.6,Taxi,USD,7519,pmt
7,Book depository,1/2/2021,d,15.6,Amazon Kindle subscription,USD,,pmt
8,Table tenis club PingPong,1/2/2021,d,12.3,Daily pool ticket,USD,5655,pmt
9,Delhaize,1/3/2021,d,33.5,Supermaket shopping,USD,5499,pmt
10,Swimming school,1/3/2021,d,22,Membership,USD,,pmt
11,Blue moon spa,1/3/2021,d,22.5,Massage,USD,8050,pmt
12,Adobe,1/3/2021,d,20.1,Games,USD,5045,pmt
13,MetLife,1/4/2021,d,200.9,Life insurance premium,USD,6300,pmt
14,City parkings,1/5/2021,d,2.3,Parking fee,USD,7523,pmt
15,A1 Telecom,1/6/2021,d,6.9,Phone bill,USD,,pmt
16,National Geographic,1/6/2021,d,4.8,National Geographic,USD,5192,pmt
17,Revolut,1/6/2021,d,4.6,ATM withdrawal fee,USD,,fee
18,Wolt,1/6/2021,d,48.4,Food delivery,USD,5811,pmt
19,Dental Plus,1/6/2021,d,20.9,Doctor's appointment,USD,8011,pmt
20,Claire Stevens,1/6/2021,c,300.1,Monthly rent,USD,,dep
21,Swimming school,1/6/2021,d,27.1,Membership,USD,,pmt
22,Faculty of contemporary arts,1/7/2021,d,185.5,Tuition,USD,8299,pmt
23,Lidl,1/7/2021,d,33.1,Supermaket shopping,USD,5499,pmt
24,Lidl,1/7/2021,d,36.8,Supermaket shopping,USD,5499,pmt
25,Claire Stevens,1/7/2021,c,300.1,Monthly rent,USD,,dep
26,Raiffeisen Leasing,1/8/2021,d,450.5,Financial leasing,USD,7394,pmt
27,City parkings,1/8/2021,d,1.5,Parking fee,USD,7523,pmt
28,Pet salon Rex,1/8/2021,d,10.3,Grooming,USD,,pmt
29,A1 Telecom,1/9/2021,d,6.1,Phone bill,USD,,pmt
30,Book depository,1/9/2021,d,126.1,Books,USD,,pmt
31,Bank of America,1/9/2021,d,5,Revolut Silver subscription,USD,,fee
32,Lidl,1/9/2021,d,33.9,Supermaket shopping,USD,5499,pmt
33,Glovo,1/9/2021,d,31.3,Food delivery,USD,5811,pmt
